REQ-ID,PHASE ESTIMATE,PROCESS,REQUIREMENT ,DETAILS/CONTEXT,NEW FUNCTIONALITY?,Jake Notes,Phase 1,Future,,,,,,,,,,
SWP-M-1,Phase 1,,UX must be highly intuitive (like amazon) and buyer must be able to be guided thorugh the process (on-screen tutorial),,Yes,tutorial? Popover?,,,,,,,,,,,,
SWP-M-2,Phase 1 - Discuss (Mark),,Multiple users under one account,Shared data for account,No,Organization? Add users? Remove users? (any other rights?),Org Admin + users (Email block for add/remove),"Manage org (add/remove, dashboard to see insights)",,,,,,,,,,
SWP-M-3,Phase 1,Home Page Access,Home Page must default to Open Requests ,,No,,,,,,,,,,,,,
SWP-M-4,Phase 1,,"Home Page must display their Vendors, Open Requests, Request History, Order History, SRC History and Pending Orders",,No,,,,,,,,,,,,,
SWP-M-5,Phase 1,,"List views for each (Open Requests, Request History, Order History, SRC History, Pending ORders) must be searchable / filterable", ,,,,,,,,,,,,,,
SWP-M-6,Phase 1,,Request History must show all created Reqs that were not purchased,"must also show status, which could be 'Cancelled, Not Needed, Archived'",No,,,,,,,,,,,,,
SWP-M-7,Phase 1,,"Open Request View must list: Req / Customer Ref #, Item Description, Sourcing Status, Created By and Created Date",,No,,,,,,,,,,,,,
SWP-M-8,Phase 1,,Open Request View must show newest on top,,No,,,,,,,,,,,,,
SWP-M-9,Phase 1,,Home page must list Bell Icon for EMA notifications,Alerts user that they have a pending message,No,,,,,,,,,,,,,
SWP-M-10,Phase 1 - Discuss,Creating Requisitions,Ability for user to search PN or description to see Material Options,,No,"exact/fuzzy matches only?
Assuming NOT including equivalent parts?
PARTS Question - who controls parts list? Block SF, each buyer/vendor, or SW3?",fuzzy search (part number) or description,Improved search (possible AI to help with suggestions),,,,,,,,,,
SWP-M-11,Phase 1,,Ability for SWP user to fill out 'notes' for each Request ,Notes must be visable to their connected vendors,No,,,,,,,,,,,,,
SWP-M-12,Phase 1,,Ability for SWP user to create a new Material ,"This must be guided with required fields for Classification, Modality, Manufacturer, Part Number and Description",No,"Currently saved to SF?
Future maintained in SW3? How do we stop slop from being added? Is there an approval process?",User can add just like current,"Process to help improve quality, AI help etc",,,,,,,,,,
SWP-M-13,Phase 1,,Ability for user to create a Requisition with multiple requests (Req items) on it, Req can have anywhere from 1-multiple items,No,"Can we treat like amazon? Multiple parts, different vendors
Past orders show individual parts not orders
This allows a buyer to start a req with 5 parts but be able to checkout with just 4 parts when ready, or 2 parts from one vendor annd 3 parts from another

This is just a way to track a group of reqs",req can have multiple part requests on them,,,,,,,,,,,
SWP-M-14,Phase 1,,Ability for Buyer to Add a Customer Reference Number,"Doing so can help them identify which Reqs are related to a specific deal. In Legacy, it was hyperlinked, and if you selected the link it would show you ALL Reqs that refernece that Customer Refernce Number. We lost this ability in SF360",Yes/No,,,,,,,,,,,,,
SWP-M-15,Phase 1,,Ability for a Req Item to automatically connect to the connected vendors in the right 'bucket',based on vendor capabilities in Block org,No,"how are vendors notified of a new ""bucket"" or update?",Assuming we use SF360 capabilities (duplicate for SW3),Manage in SW3 (allow vendors to set their own)?,,,,,,,,,,
SWP-M-16,Phase 1,,Notification launches via email to vendor when Req Item is created,"When customer submits a Req, email fires to connected vendors to alert them",No,,,,,,,,,,,,,
SWP-M-17,Phase 1,,Email Notification to Customer when Vendor quotes,Quoted,No,,,,,,,,,,,,,
SWP-M-18,Phase 1,,Auto Archiving: Reqs open for 7 days or longer must automatically be archived,"This should involve updating Req Stage to 'archived / not needed, etc'",No,"Personally I dont love ""auto"" doing things unless the user asks, opts in or can modify",,,,,,,,,,,,
SWP-M-19,Phase 1,,Buyer must be able to view Archived Reqs (request history),,No,,,,,,,,,,,,,
SWP-M-20,Phase 1,Req Item View,Buyer must be able to click into Req and see all requested Req Items,"This let's them see 1+ parts on the order, with ability to drill down further to see purchasing options",No,"I would argue - a req with mult parts is just a fast way to multi req but post that initial they become individual. They can be grouped for checking out (like add to cart) but otherwise seperate. So that a missing item on the order doesnt hold up the process. Or you can checkout with different vendors, if you want 2 items from one vendor and 1 from the other - based on quotes",,,,,,,,,,,,
SWP-M-21,Phase 1,,"Under req item, Buyer must view all SRC options in one view to do a 'quick select' of their preferred choice","SRC's live under Req Items, Req items live under Req. SRC's should have 5 columns: Supplier, Pricing (Ex/OR), Warranty, Status/Condition,Sourcing Quantity (Sam to check this)",,,,,,,,,,,,,,
SWP-M-22,Phase 1,,Customer must have ability to edit originally requested quantity for a Req Item,,No,,,,,,,,,,,,,
SWP-M-23,Phase 1,,Quantity should default to quantity customer REQUESTED ,,"Yes, currently defaults to qty vendor quotes","If vendor only has 1, I would assume the user should be able to buy the 1 and get the remainder from someone else",,,,,,,,,,,,
SWP-M-24,Phase 1,EMA (Messaging),Email notification to Customer when vendor sends EMA message,,No,,,,,,,,,,,,,
SWP-M-25,Phase 1,,Ability for customer to see vendor that would be receiving EMA (vendor contact),,No,,,,,,,,,,,,,
SWP-M-26,Phase 1,,Ability for customer to send an EMA to a vendor on any SRC,,No,,,,,,,,,,,,,
SWP-M-27,Phase 1,,EMA: Ability to upload pictures / docs ,,No,,,,,,,,,,,,,
SWP-M-28,Phase 1 - Discuss,,EMA: Banner that says 'Do Not Upload PO here',"This is a common user mistake, and curretnly breaks entire connection",Yes,,,,,,,,,,,,,
SWP-M-29,Phase 1,,EMA should live on every single SRC record,,No,,,,,,,,,,,,,
SWP-M-30,Phase 1,Check Out / Purchase Process,"From Req Item, buyer must be able to add SRCs to cart (in doing so, must confirm quantity and purchase type)",,No,,,,,,,,,,,,,
SWP-M-31,Phase 1,,Buyer must be able to check out with multiple SRCs if one doesn't meet requested qty,,,,,,,,,,,,,,,
SWP-M-32,Phase 1,,Check Out Page must list link to T&C's for purchasing parts through portal ,,Yes,,,,,,,,,,,,,
SWP-M-33,Phase 1,,"Check out page must recap purchase info: Description of material, Vendor purchasing it from, Req #, Buyer Name, Total cost",,No,,,,,,,,,,,,,
SWP-M-34,Phase 1,,"Check out page must include qty purchased, unit cost and total for each part (Req item)",,No,,,,,,,,,,,,,
SWP-M-35,Phase 1,,Check Out page must require a PO# ,,No,,,,,,,,,,,,,
SWP-M-36,Phase 1,,Check Out page must require 1 of 2 options: Hard copy PO to be uploaded (default) or Manual Shipping form to be be completed ,,No,,,,,,,,,,,,,
SWP-M-37,Phase 1,,"Manual Shipping must require: Shipping Method Drop Down (Fedex shipping levels, UPS shipping levels, etc), Shipping Account number, Recipeint First and last names, Recipient phone,  Ship To Address",,No,,,,,,,,,,,,,
SWP-M-38,Phase 1,,"Buyer should be able to select / edit from drop down of addresses, or be able to add another address (that will moving forward be on their drop down list)",,No,,,,,,,,,,,,,
